$K_1$ (km/s),$\gamma_{TO95}$ (km/s),$\gamma_{FEROS}$ (km/s),$\gamma_{FEROS2}$ (km/s),$\gamma_{ELODIE}$ (km/s),$\gamma_{CTIO}$ (km/s),$\gamma_{Mercator}$ (km/s),$\gamma_{HARPS}$ (km/s),$\gamma_{NIRPS}$ (km/s)
6.7103151151158515,12.92186071969682,13.560595668385687,11.847949034749693,10.316625147055479,11.975686942484007,12.631875884374015,12.051881263525758,11.757708881096853
6.6582507422442125,12.912312694939938,14.215364253242925,6.347000862657045,10.86914828668634,11.911495015685219,13.125080932989992,11.92626033390478,11.3775014944582
6.719062977510183,12.76622657496803,14.390248770493109,11.25915892341919,11.320933460859145,11.772310376199195,12.796021377182186,12.44039450057062,11.89421678977916
6.670989896366999,12.692526272457926,14.393827851481447,9.366943959815316,11.059394143068639,11.780426285426852,12.837362685504463,11.828243905937832,11.404669304989266
6.886583635921461,13.016176001179499,14.234024916973809,11.420028329969536,12.734524566413025,11.832446854324855,12.85863424792754,13.702640510244848,10.576753186271166
6.891460026913499,12.975348796953073,14.18984339313079,12.611937513315329,11.985287501538227,11.930741132131203,12.845848912595992,12.114565171488211,11.54581017960196
7.032594150477858,12.915665749095337,14.484025009255268,11.300403933237785,11.362336963958846,11.585399146109868,12.945051630788317,14.157692516357738,10.879600554704346
7.083982138326055,12.961453557776352,14.54482167920688,12.834559621844539,12.09081641613576,11.850946048202925,13.053780938930698,12.191081286203804,11.510953492189255
6.703555526096657,12.8115198956899,14.257652621689553,10.44711270314042,12.023530270806761,11.940006935274756,12.767035690279448,10.724065942493356,11.447249669824311
6.872090420460693,12.808425616296796,14.261559634973711,13.186101247795847,12.242430192125347,11.717715914465455,12.85111147534691,12.572258439242233,11.84544488686392
6.775615053120557,12.810730315257668,14.45954822612007,12.466798963454547,12.034903458415318,12.031207264332824,12.893648964060398,10.02128015598256,11.914015909607594
6.691261559441017,12.909109622485634,13.567494792860302,11.496041885060135,11.705501046416618,11.641538620379723,12.781643439175,12.066691493844713,12.04915489988956
