$\Omega$ (deg),$\omega$ (deg),$a$ (mas),$i$ (deg),$P$ (days),$f$,$T_\mathrm{p}$ (MJD),$e$
343.93961139574805,104.97925658882073,21.942095695624594,65.27074354846019,314.8785552850069,0.6782967950126368,48708.68757752841,0.780074628519871
343.95073801331046,104.98607349489598,21.948445001057603,65.29555126969886,314.8782940743705,0.5927367963911025,48708.775430224836,0.7795642861995045
344.0191105238023,104.89936908044807,22.01824550218802,65.39272934725761,314.87837717344155,0.5514951555238207,48708.770759146195,0.7810315025844088
344.0946960850764,104.68493001458947,22.172247011373912,65.61041590205828,314.87864927236825,0.7939439217392129,48708.5562312454,0.7834569270777939
343.43608746368966,105.39336319741517,21.7382249160281,65.0584607595824,314.87857061430117,0.5373643091469371,48708.728197499644,0.7742325842577777
343.8752518968404,105.22294856484301,21.77732641312645,65.04788775036317,314.8785704064125,0.5919726434695369,48709.04355427483,0.7771965472677924
344.19491009652137,104.49614462543673,22.31300073631956,65.81862131298918,314.8782506585516,0.6860385198328804,48708.412818808574,0.7867359215190339
343.88845761301434,105.16779570626503,21.828830668667347,65.12868146994268,314.87861961353974,0.6509907713052097,48709.00021006912,0.7785162210830892
344.1722393935832,104.83472593942291,22.07056014287786,65.45352229648286,314.8783853632038,0.6286327379119092,48708.95234385133,0.7835273083601924
344.019986342806,104.92960417782442,21.967115717565246,65.28352936239698,314.87840721358964,0.6359865922453246,48708.722483001184,0.7805558883924223
343.6562091563208,105.26348934663324,21.79924617526218,65.14409597935777,314.87870067307847,0.6228067758756822,48708.83369470481,0.7770553572261574
343.85257173713626,104.9729805537054,22.016715471865727,65.47057358837253,314.87856918270296,0.6485994997160938,48708.76258465601,0.7813509633289022
343.7931141071246,105.09874071824471,21.893376246638482,65.24536949739377,314.8785156034191,0.6178867149874856,48708.77663367847,0.7794249417044383
343.9938646749871,105.03137968125596,21.88734187739864,65.19410914603242,314.8784870493577,0.6587196520080751,48708.84723807778,0.7796384856352793
343.93327441095477,105.09755531730941,21.873118513241003,65.17966438314438,314.87842119375415,0.6132988225852156,48709.02716880757,0.7791445979267262
344.20257865259447,104.75827080300698,22.066135394998934,65.4523552406728,314.87848507920353,0.7311932608863243,48708.78514757333,0.7833633455357449
344.00697754332157,104.84164532151503,22.05862734452966,65.44487128712278,314.8785101971937,0.654710873152787,48708.56200138852,0.782223075441685
343.8744417142603,105.06746787578007,21.893067675792086,65.22800479442398,314.87849168527197,0.6320868429745728,48708.81391155161,0.7790515675467988
344.31838220109216,104.55889719401591,22.242379977234492,65.66827638141929,314.8787825304899,0.6635268920481778,48708.662047467194,0.7862029683430586
343.8769514131515,104.9778871147535,21.96047715561157,65.34241809877805,314.87838664246647,0.6822475648428873,48708.62324836245,0.7799825411993153
343.9411535598991,105.02514350646878,21.926841904094232,65.26697086425494,314.8787063096261,0.7113347564649901,48708.8578148433,0.779701152922005
343.8224686325022,105.03474766846873,21.93967865601959,65.33459911518767,314.878125083233,0.7304863522220698,48708.559263867326,0.779542582055567
343.9010638379757,105.13280580433859,21.86306013352443,65.14841914086779,314.87895299114365,0.4952618385869264,48709.044143591076,0.7780777363954414
344.0106479395344,104.7497880418621,22.145843010951367,65.60688712151409,314.87862048456805,0.6770113965093177,48708.625202203635,0.7837968502697573
344.3284527778263,104.25722968316214,22.48975179927329,66.05883635360681,314.87823897232045,0.6633322355773004,48708.24875271786,0.790058766690744
344.01607193588393,104.98422807458834,21.923236297807733,65.25352402680039,314.87851224163944,0.7393686135662818,48708.81882304,0.7798599680835756
344.4340894454449,104.54787264644747,22.225238318421013,65.64912473338661,314.87846585092507,0.6843160321267042,48708.87882649945,0.7867510481509759
343.6708092762534,105.1208619827744,21.89499848603278,65.27634932495698,314.8784284594775,0.7681749309980372,48708.54578792956,0.7786690924829349
343.8225053368707,105.18907258915067,21.820244669353453,65.1550939959756,314.8785153448428,0.6412480520857404,48708.89943235833,0.7783291041757291
344.443286214395,104.67201982485605,22.14040474921868,65.51625999040557,314.87891341178585,0.6857154269840293,48709.09834379051,0.7855409147176735
343.83426883261495,105.06015967179896,21.877552344570404,65.22252889030716,314.87808351314584,0.6433787639229462,48708.61811905168,0.7785633696246075
343.90077931049035,105.04882449987335,21.9062177208626,65.23843836908388,314.87860672787434,0.6861152796798489,48708.72045809403,0.7793265730908554
343.42242325129035,105.48580817119952,21.651694590374966,64.91217903333613,314.87848026709247,0.5936057193164326,48708.736383695155,0.773169949358018
344.60740936099023,104.25709682498315,22.42844086016382,65.91851828190755,314.8786847994452,0.5573166492106789,48708.67224715045,0.7900279045399832
