K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$]
4.014179288222891,3.719637386520192,9.075618607770062,21.560718801288925,1.2786111826605095,1.3798588393928466
3.892393497115533,3.7690068218454877,9.079815962073086,21.84897702623183,1.2615371734027054,1.3028363497940905
4.210065422656922,3.5742733274577376,9.102390164685504,21.346899482732475,1.27204317931802,1.4983143466486049
3.6409715664688225,3.755520707771015,9.318551405274881,22.323218206027654,1.2426525272686482,1.2047497193727739
3.8128439860058156,3.5910673145323995,9.23242022511727,22.311799067980377,1.1946700070656828,1.268450283086671
3.9261732894557646,3.5608907047578167,9.083359518101238,22.19032587594446,1.1763881626872998,1.2970641800950604
4.142090532787564,3.5600093102828443,8.899070371669659,21.573806671912223,1.2354821376614291,1.4374903040433231
4.166530131356352,3.331345505138424,8.905826681482313,22.271575089391327,1.0864702569924054,1.3588536690652384
3.5906087310111436,3.8217481533573587,9.305025494673487,22.20667916164081,1.286837133584151,1.2090091920833477
3.953671182981226,3.4627942705449737,9.000814944135811,22.221188179350143,1.1712702643911328,1.3373065593865692
3.8711433791655865,3.6241555805877277,9.005247892313623,22.02079310540682,1.2343084358549234,1.318427099239802
3.999845850161927,3.5711041715749268,9.058551985854956,21.924246153434467,1.2104106573064977,1.355730836181121
3.9335492390136664,3.7388331655648974,9.116438582016167,21.856279560136386,1.2469098985059641,1.311848179683536
4.092121014008331,3.513986107707974,8.984807109687532,21.7789470860113,1.1994036595736517,1.3967342980821247
3.563009049451138,4.093736318873216,9.393359549784506,21.798270915134662,1.390394749560545,1.2101387801051964
3.8483864278511986,3.715501985651469,9.138962074959924,22.04166182724477,1.2305983121300026,1.2746104996919618
3.8978174861878885,3.9948067499227298,9.267966792623595,21.26495478861532,1.3825786993834597,1.3490112958760763
3.978800768117993,3.6091653978875295,9.05206136988915,21.927647847049144,1.205654845919753,1.329132887575185
3.831654653803896,3.954379788838618,9.19949510411884,21.6195019376718,1.338304750961878,1.2967701386965134
4.027028069032006,3.559135042700336,9.020076620960154,21.869599235338505,1.2042260589794391,1.3625367070339334
3.8032303871647546,3.8063641818098177,9.14235633361739,21.95420330674825,1.2774744205846016,1.2764226708551447
4.1775358779220895,3.6402951122188982,8.972689086989087,21.489790800307908,1.2279449440503007,1.4091670872135325
3.65701018745975,3.895364895273675,9.18871991550863,22.107785190214948,1.2928242444833402,1.2137172151463786
3.7192512560838127,3.6996755126206398,9.166119098973901,22.33301466601971,1.2220477166741082,1.228513822287901
3.770894892034095,3.6935705798746516,9.129553800934545,22.23529054883005,1.2269453056213109,1.2526312102934358
4.224124714827337,3.356506043727676,8.892566892176847,21.85746529576901,1.1311852157543614,1.4235837399561577
3.8151377844425647,4.0547641623254025,9.27975554050206,21.379924885229222,1.4079854351772954,1.3247770323118047
4.199839545422568,3.7390265698373084,9.001190143378416,21.09582263735186,1.327025265006899,1.4905733034128565
3.856608830470154,4.056164950719042,9.235273139866827,21.328347718651266,1.4040187584864816,1.334943526190873
4.113594319049209,3.342351956826746,8.780520133517273,22.081501085450917,1.126955744898155,1.3869989785379215
3.6751117168465215,4.255012199588438,9.534477453232116,21.327036773330327,1.4719894620606053,1.2713772523652904
4.2650103261136225,3.317001215015423,8.6600227651025,21.852613963996628,1.1212011414331409,1.4416438632026523
3.866459063519024,3.9154542550673113,9.326036812497714,21.57054899661898,1.3476457060665368,1.3307822324548852
3.5332771047204337,3.8451686061551964,9.29073738500987,22.477093593355576,1.2413396520042046,1.1406514046190728
3.8791980581905277,3.6950917341867564,9.147769085762155,21.792707498047392,1.2809936270681934,1.3448185723516393
3.6526324876243033,3.812757158883279,9.253902330033796,22.239216480080124,1.2585531074935346,1.2056975506873964
3.5072995089158923,4.058775089545663,9.44107575342708,22.067281959301134,1.3562756626071486,1.1719952104932008
3.9514987322783974,3.798926011368492,9.200337630762323,21.431345215354668,1.308868332499765,1.3614351901339212
4.048381943892321,3.523424100855629,8.924921077354519,22.03228143663654,1.177713859776764,1.3531824124816996
4.115798439140878,3.4079133475904775,8.911567820830566,22.15056994804351,1.1306200809194413,1.3654702715958733
3.969951812856064,3.5577133687479323,9.033079160741623,22.102118800093976,1.1930268634074594,1.331264963831884
3.858327538319242,3.702577696707439,9.15909674689171,22.05178292388907,1.2422066693995488,1.294460398519171
3.733331880331243,3.923032458063646,9.273029327629915,21.75712886266559,1.345629153289117,1.2805604518390896
4.031706560732012,3.6110896397134584,9.013577768637733,21.80638853378371,1.2159867937303654,1.3576239925285305
3.684005531615154,3.948618986805002,9.2215275653621,21.92817177893032,1.322835871559323,1.2341871131473046
