JD,year,x_lo,x_med,x_hi,y_lo,y_med,y_hi
2454590.3308270676,2008.339116999988,0.05943076386768929,0.06057724074024046,0.061708385665477726,0.7282756543340698,0.7292014558680626,0.7301127483203145
2454864.954887218,2009.0910127586565,0.059557692583300265,0.06066033921152576,0.061747599264055354,0.7158355571232065,0.7166769554148966,0.717509845262845
2455139.5789473685,2009.8429085173264,0.0595776761798678,0.060639494386849,0.06168119433994596,0.7021782470047834,0.7029425954798083,0.7037065587412323
2455414.203007519,2010.594804275995,0.059494564038772055,0.06051100507957695,0.06150660831406268,0.687277499911211,0.6879765045775041,0.6886672721727627
2455688.827067669,2011.3467000346636,0.059305145050727856,0.06027282253020985,0.06122380844369623,0.6711068561478808,0.6717545568967789,0.6723829810859077
2455963.4511278197,2012.0985957933335,0.05900167533059608,0.05991928813511523,0.060824194394537325,0.6536512954945707,0.654255645881054,0.6548315319053868
2456238.07518797,2012.8504915520023,0.05858261943215148,0.059448305380477975,0.060300102678522066,0.6349093826659736,0.6354700149875133,0.6360071257436384
2456512.69924812,2013.6023873106708,0.0580398011047483,0.058858202972858945,0.059659782797646194,0.6148643809855682,0.6153880461873634,0.6158997577481505
2456787.323308271,2014.3542830693407,0.05737839525240313,0.05813971840343088,0.058885357079855934,0.5935150032360444,0.5940175918432882,0.5945095880670143
2457061.947368421,2015.1061788280094,0.056590399953982656,0.05729550287711994,0.057990579000043,0.5708718489269935,0.5713616204592504,0.571838367671322
2457336.5714285714,2015.858074586678,0.05567510752760044,0.05632389198284823,0.05696869601116582,0.5469530216518016,0.5474322155704707,0.5479058270590514
2457611.1954887216,2016.6099703453465,0.054635232261732926,0.055224610807108145,0.05581393875454582,0.5217804545749098,0.5222483178325857,0.5227186364878825
2457885.8195488723,2017.3618661040164,0.053459979514228845,0.053995871535086816,0.05453428100633397,0.4953931951089652,0.495848512469206,0.49630516867474916
2458160.4436090225,2018.1137618626851,0.05215855556528203,0.05264136435488459,0.05312573027781853,0.4678276787133197,0.46826442569248594,0.46869639770767346
2458435.067669173,2018.8656576213536,0.05072660857722592,0.05115878485237303,0.051589638246838335,0.4391335635754604,0.4395457874010623,0.4399463129975067
2458709.6917293235,2019.6175533800235,0.04916686824486713,0.04954526062026256,0.049935298565633855,0.4093728324263368,0.4097394962678573,0.41009984502027624
2458984.3157894737,2020.3694491386923,0.04747504258985477,0.04781289292033056,0.04816015897723962,0.3786019929591778,0.37891430751887434,0.379221146120304
2459258.939849624,2021.1213448973608,0.04565952905025349,0.045958715952564566,0.04626962695219645,0.346895968415443,0.34713925566669324,0.34737659748287764
2459533.5639097746,2021.8732406560307,0.043715920060543687,0.04399047317716777,0.04427605342456435,0.31432995433333405,0.31448795995959355,0.3146444751231199
2459808.187969925,2022.6251364146995,0.04164510714724859,0.04191416925072522,0.0421868318936604,0.2809642337754898,0.28104430825045235,0.28112586423074687
2460082.812030075,2023.377032173368,0.039452257984679134,0.03972761179127197,0.0400076908169971,0.24677747403108616,0.24689524920665618,0.24701303631508825
2460357.4360902254,2024.1289279320367,0.037146415104842935,0.03744367041372845,0.03774393831331388,0.21188430696791483,0.21212727455687752,0.21237387712567793
2460632.060150376,2024.8808236907066,0.03473383292919789,0.03506645207916667,0.035401660357692995,0.1764391719403098,0.176834422379943,0.1772371906942492
2460906.6842105263,2025.6327194493751,0.03222582146975745,0.0326032172926431,0.032983569043939044,0.1405442892924878,0.14110886786768012,0.14168290715736712
2461181.3082706765,2026.3846152080437,0.029635038520016817,0.030061073421794135,0.030492018856737652,0.10430115169849116,0.10504316750969489,0.10580078481305376
2461455.932330827,2027.1365109667136,0.026969982785862802,0.02744807099991483,0.027935659541168743,0.06780220165016088,0.06872985106928395,0.0696737951224863
