K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$],$a$ (AU),$d$ (pc)
3.638639736457113,3.8089470081350347,9.250645747376051,22.384538684947714,1.2863947462372542,1.2288769128138515,49.742781665959576,44.67369259087931
4.04328226682391,3.3660646689287974,8.851519682153251,22.40403934313544,1.159911155989962,1.3932733531224504,51.831219707657304,44.63480824525504
3.8627233390106266,3.7434246146289114,9.436921585941242,21.772017157414762,1.3668308534466738,1.4103902126026011,53.81117751705597,45.93051680833515
3.6538491691403956,3.632478439661345,9.06082784577926,22.711720719817816,1.2162241976375285,1.22337953214132,51.96069332990011,44.03012930356347
3.693009650132817,3.7633714612156544,9.256173649252904,22.057742495677047,1.3666160062340207,1.3410650931114667,56.4689205244905,45.335555086654196
3.7242119033399836,3.457708189465224,9.057949341133032,22.885773494898174,1.1607052959152815,1.2501669436673917,54.24807088529349,43.69526772704124
4.023560384004996,3.4918098034718135,8.875682958115995,21.966375573076128,1.268197573780534,1.4613251592000116,54.98747436900001,45.52412375329163
3.6429058096635845,3.7253084495992597,9.131221125431727,22.395172701928953,1.298549393145308,1.269825892922514,54.469351665945915,44.65247994778211
4.01030965994742,3.1763194299922173,8.842040337930548,22.94432261983998,1.0597068564377186,1.3379487601141893,52.782729291598436,43.58376651901237
3.3188910743484725,4.016062611223404,9.534358671577426,22.833256687568895,1.310259349134119,1.0828038504106288,48.94592046615129,43.795767449346364
4.076422933883571,3.3699162757893992,8.849639957475263,22.193879377411065,1.1823104879862467,1.4301831837259003,52.86960558286882,45.057467556474165
3.456630896028763,3.920695905330776,9.430422392935125,22.49646004377552,1.3453342831126112,1.18609659121253,52.617946921241,44.451438050880675
4.049422096263162,3.4296950875106496,9.049485592102764,22.09649552483872,1.211298997321395,1.430174053313548,52.87108906128657,45.256045189423716
3.911071463936049,3.553148324020014,9.104126336825669,22.224790123255254,1.23457383499053,1.3589374987562033,52.115558312279134,44.994800601227475
3.513216860481295,3.854148883071599,9.438062233901586,22.48486532618991,1.3193378421641149,1.2026312663012586,52.21348443861604,44.47436021932586
3.803067302405147,3.7460480993013583,9.316402190455364,21.935466263370976,1.3452548108783804,1.3657311516125341,53.47600923575028,45.58827188778996
3.714570093763534,3.656008623174762,9.176839113610614,22.408771436220793,1.2659565271020374,1.2862344540901232,53.22094877676301,44.6253826474232
3.9419030184193824,3.5417381600225664,9.118840502259179,22.218842933314292,1.235058703428749,1.37460235935112,52.08691555453779,45.006844100807285
3.617656594261025,3.604388536715891,9.2640676191384,22.922918494621918,1.18385845602492,1.1882163386338087,51.170778765348544,43.62446257594189
3.485936048336262,3.8146776201075,9.441471932696542,22.56494809904057,1.3302789483406565,1.2156380701530594,55.27467323906588,44.31652116419087
3.950934001614604,3.6179076026062638,8.782513895216713,21.951528452204382,1.271080909347457,1.3880832058636234,51.50121717080289,45.5549144187078
3.531240120295349,3.865668164275037,9.417100490627044,22.50240301371724,1.32561203957282,1.2109302245201812,51.61189157762246,44.43969825757764
3.815412333881199,3.6472890651333056,8.798949027648403,22.19202353999774,1.2765485787006643,1.33539160318652,52.138128793397165,45.061235546981656
4.212532084841471,3.197496160018734,8.809604570603298,22.292752109782796,1.1274463682080134,1.4853509628566435,54.2540062016054,44.85762884167033
3.494088458535419,3.9559998067618314,9.633076590762697,22.274614815754994,1.3781109111820045,1.2171996118686035,52.114777988832444,44.89415454639839
4.258793746412885,3.2270528200414375,8.507979140937751,22.238213872178378,1.110198373678506,1.4651467313259114,51.18492053699201,44.967640195738596
4.051256679035608,3.29158938902639,8.821416091607825,22.399182808433878,1.1513438014500414,1.4170629183096237,54.47101898004395,44.644485852558596
3.6134292135083683,3.768171410340784,9.44298971499213,22.385273030587392,1.2998590446757794,1.2464795610372088,52.72283857318311,44.672227076864026
3.8392971139254453,3.7218580487053776,9.027361253741713,22.01239565222546,1.303314379353466,1.3444390059233549,51.0415231715157,45.42894902485998
3.8835125317047194,3.6417271142475416,9.206734947153606,22.18430086547244,1.2633654865822221,1.3472441908319746,50.87268841459012,45.07692201183568
3.8537049452766237,3.5780435038938787,9.075504877360165,22.25226509830906,1.2504013882421847,1.3467354458395038,53.05719723512585,44.93924531197454
3.8356326540561048,3.629069683743432,9.08973348759364,22.23273752421602,1.2700211328010287,1.3423094492052041,52.57803668091752,44.97871658453191
