JD,year,x_lo,x_med,x_hi,y_lo,y_med,y_hi
2456238.07518797,2012.8504915520023,0.056948737576477136,0.05780581573977292,0.05866348226256577,0.6342842102570168,0.6348450272718319,0.6354086370647436
2456512.69924812,2013.6023873106708,0.056525845571785624,0.057329863073937476,0.058136498619567385,0.6142769493986865,0.6148125265563551,0.6153418479405502
2456787.323308271,2014.3542830693407,0.05599392415847647,0.056738253348886575,0.057492568967745676,0.5930137291166824,0.5935235340033586,0.5940286324891895
2457061.947368421,2015.1061788280094,0.05533263993791205,0.05602512679600808,0.0567282670586341,0.5704863171710458,0.5709792316025477,0.5714642368377063
2457336.5714285714,2015.858074586678,0.054553006856240156,0.055192078527480315,0.055839879221184954,0.546710159092006,0.5471835616041709,0.5476507070773997
2457611.1954887216,2016.6099703453465,0.05364724789025205,0.05422909812593807,0.05482337029836073,0.5216911010926846,0.5221494758777367,0.5226030225834061
2457885.8195488723,2017.3618661040164,0.052613997418349,0.05314240841079032,0.05367997940858619,0.49544825739686704,0.4958922691108023,0.496330427797611
2458160.4436090225,2018.1137618626851,0.051448629547838486,0.051928912920828546,0.052415351442443504,0.46800939881285,0.4684323176947951,0.46885343892706444
2458435.067669173,2018.8656576213536,0.05015650686259218,0.050586775107851055,0.05102269808852641,0.43942066461412665,0.43981213029777044,0.44020593614580594
2458709.6917293235,2019.6175533800235,0.048736467342798184,0.049114658172452225,0.04950162782740939,0.4097241819275365,0.41007288935050257,0.4104270962990533
2458984.3157894737,2020.3694491386923,0.04718106011945123,0.047513052347435,0.04785366982731026,0.37897043762550364,0.37926882251225696,0.37957056169794856
2459258.939849624,2021.1213448973608,0.04549266038896622,0.04578670841307868,0.04609225047226453,0.34722490903392844,0.3474561479787017,0.34769198196791357
2459533.5639097746,2021.8732406560307,0.04366398897458973,0.043939145134254856,0.04422155932514904,0.314556260175884,0.3147088473764993,0.31486220572483076
2459808.187969925,2022.6251364146995,0.04170010449595129,0.04196917264156314,0.04224363056082195,0.2810201249191919,0.28110330112697846,0.2811816431937378
2460082.812030075,2023.377032173368,0.0396043166373481,0.03988222440528684,0.040171810531240255,0.2466011998180746,0.24671829449521046,0.2468364732774386
2460357.4360902254,2024.1289279320367,0.037381169617606964,0.03768768262042921,0.037998047618613764,0.21140829057578908,0.21165670509723328,0.21189359398664392
2460632.060150376,2024.8808236907066,0.03504439654188376,0.03538717745474717,0.03573539741896922,0.1756011245887567,0.17600399470916883,0.1763880845764906
